Symbol,Company,Sector,Subsector,Headquarters,CIK,DateFirstAdded,Source
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",10795,,Wikipedia
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",38777,,Wikipedia
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",14693,,Wikipedia
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",1996862,,Wikipedia
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",875045,,Wikipedia
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1390777,,Wikipedia
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",1075531,,Wikipedia
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1701605,,Wikipedia
BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas",1316835,,Wikipedia
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",2012383,,Wikipedia
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",14272,,Wikipedia
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",1383312,,Wikipedia
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",1067983,,Wikipedia
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",79282,,Wikipedia
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",885725,,Wikipedia
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",1393818,,Wikipedia
BXP,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",1037540,,Wikipedia
C,Citigroup,Financials,Diversified Banks,"New York City, New York",831001,,Wikipedia
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",23217,,Wikipedia
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",721371,,Wikipedia
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",1783180,,Wikipedia
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",18230,,Wikipedia
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",896159,,Wikipedia
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",1374310,,Wikipedia
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",1138118,,Wikipedia
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",1051470,,Wikipedia
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",815097,,Wikipedia
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",813672,,Wikipedia
CDW,CDW Corporation,Information Technology,Technology Distributors,"Vernon Hills, Illinois",1402057,,Wikipedia
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",1868275,,Wikipedia
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",1324404,,Wikipedia
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",759944,,Wikipedia
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",313927,,Wikipedia
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",1043277,,Wikipedia
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",1091667,,Wikipedia
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1739940,,Wikipedia
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",20286,,Wikipedia
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",21665,,Wikipedia
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",21076,,Wikipedia
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",1166691,,Wikipedia
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",1156375,,Wikipedia
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",1058090,,Wikipedia
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",26172,,Wikipedia
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",811156,,Wikipedia
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",1071739,,Wikipedia
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1130310,,Wikipedia
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",927628,,Wikipedia
COIN,Coinbase,Financials,Financial Exchanges & Data,"New York City, New York",1679788,,Wikipedia
COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",711404,,Wikipedia
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1163165,,Wikipedia
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",1140859,,Wikipedia
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",909832,,Wikipedia
CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",1175454,,Wikipedia
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",16732,,Wikipedia
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",900075,,Wikipedia
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",906345,,Wikipedia
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",1100682,,Wikipedia
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",1108524,,Wikipedia
CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",1535527,,Wikipedia
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",858877,,Wikipedia
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",1057352,,Wikipedia
CSX,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida",277948,,Wikipedia
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",723254,,Wikipedia
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",858470,,Wikipedia
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",1058290,,Wikipedia
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",1755672,,Wikipedia
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",64803,,Wikipedia
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",93410,,Wikipedia
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",1590895,,Wikipedia
D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",715957,,Wikipedia
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",27904,,Wikipedia
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,"San Francisco, California",1792789,,Wikipedia
DAY,Dayforce,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota",1725057,,Wikipedia
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",1666700,,Wikipedia
DDOG,Datadog,Information Technology,Application Software,"New York City, New York",1561550,,Wikipedia
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",315189,,Wikipedia
DECK,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California",910521,,Wikipedia
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",1571996,,Wikipedia
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",29534,,Wikipedia
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",1022079,,Wikipedia
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",882184,,Wikipedia
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",313616,,Wikipedia
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,"Burbank, California",1744489,,Wikipedia
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",1297996,,Wikipedia
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",935703,,Wikipedia
DOC,Healthpeak Properties,Real Estate,Health Care REITs,"Denver, Colorado",765880,,Wikipedia
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",29905,,Wikipedia
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",1751788,,Wikipedia
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",1286681,,Wikipedia
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",940944,,Wikipedia
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",936340,,Wikipedia
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1326160,,Wikipedia
DVA,DaVita,Health Care,Health Care Services,"Denver, Colorado",927066,,Wikipedia
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",1090012,,Wikipedia
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",1093557,,Wikipedia
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",712515,,Wikipedia
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,"San Jose, California",1065088,,Wikipedia
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",31462,,Wikipedia
ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",1047862,,Wikipedia
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",33185,,Wikipedia
EG,Everest Group,Financials,Reinsurance,"Hamilton, Bermuda",1095073,,Wikipedia
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",827052,,Wikipedia
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",1001250,,Wikipedia
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",1156039,,Wikipedia
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee",915389,,Wikipedia
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",32604,,Wikipedia
ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",1463101,,Wikipedia
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",821189,,Wikipedia
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",1352010,,Wikipedia
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",1101239,,Wikipedia
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",906107,,Wikipedia
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",33213,,Wikipedia
ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",922621,,Wikipedia
ES,Eversource Energy,Utilities,Electric Utilities,"Hartford, Connecticut",72741,,Wikipedia
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",920522,,Wikipedia
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1551182,,Wikipedia
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",65984,,Wikipedia
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",1711269,,Wikipedia
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",1099800,,Wikipedia
EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1109357,,Wikipedia
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",895126,,Wikipedia
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",746515,,Wikipedia
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",1324424,,Wikipedia
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",1289490,,Wikipedia
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",37996,,Wikipedia
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",1539838,,Wikipedia
FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",815556,,Wikipedia
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",831259,,Wikipedia
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",1013237,,Wikipedia
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1048911,,Wikipedia
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",1031296,,Wikipedia
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",1048695,,Wikipedia
FI,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",798354,,Wikipedia
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",814547,,Wikipedia
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",1136893,,Wikipedia
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",35527,,Wikipedia
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,"New York City, New York",1754301,,Wikipedia
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",1754301,,Wikipedia
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",34903,,Wikipedia
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",1274494,,Wikipedia
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",1262039,,Wikipedia
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",1659166,,Wikipedia
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",40533,,Wikipedia
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona",1609711,,Wikipedia
GE,GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio",40545,,Wikipedia
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",1932393,,Wikipedia
GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona",849399,,Wikipedia
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",1996810,,Wikipedia
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",882095,,Wikipedia
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",40704,,Wikipedia
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",320335,,Wikipedia
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",24741,,Wikipedia
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",1467858,,Wikipedia
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",1474735,,Wikipedia
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",1652044,,Wikipedia
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",1652044,,Wikipedia
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia",40987,,Wikipedia
GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",1123360,,Wikipedia
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",1121788,,Wikipedia
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",886982,,Wikipedia
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",277135,,Wikipedia
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",45012,,Wikipedia
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",46080,,Wikipedia
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",49196,,Wikipedia
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",860730,,Wikipedia
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",354950,,Wikipedia
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",874766,,Wikipedia
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",1501585,,Wikipedia
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",1585689,,Wikipedia
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",859737,,Wikipedia
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",773840,,Wikipedia
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",1645590,,Wikipedia
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",47217,,Wikipedia
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",48465,,Wikipedia
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",1000228,,Wikipedia
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",1070750,,Wikipedia
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",47111,,Wikipedia
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",48898,,Wikipedia
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",49071,,Wikipedia
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",4281,,Wikipedia
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,"Greenwich, Connecticut",1381197,,Wikipedia
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",51143,,Wikipedia
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",1571949,,Wikipedia
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",874716,,Wikipedia
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",832101,,Wikipedia
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",51253,,Wikipedia
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",879169,,Wikipedia
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",50863,,Wikipedia
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",896878,,Wikipedia
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",1687229,,Wikipedia
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",51434,,Wikipedia
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York",51644,,Wikipedia
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",1478242,,Wikipedia
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",1699150,,Wikipedia
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts",1020569,,Wikipedia
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",1035267,,Wikipedia
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",749251,,Wikipedia
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",49826,,Wikipedia
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",914208,,Wikipedia
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",52988,,Wikipedia
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",728535,,Wikipedia
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",898293,,Wikipedia
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",833444,,Wikipedia
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",779152,,Wikipedia
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",200406,,Wikipedia
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",19617,,Wikipedia
K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",55067,,Wikipedia
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",1418135,,Wikipedia
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",91576,,Wikipedia
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",1601046,,Wikipedia
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",1637459,,Wikipedia
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",879101,,Wikipedia
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,"New York City, New York",1404912,,Wikipedia
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",319201,,Wikipedia
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",55785,,Wikipedia
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",1506307,,Wikipedia
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",1170010,,Wikipedia
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",21344,,Wikipedia
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",56873,,Wikipedia
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",1944048,,Wikipedia
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",60086,,Wikipedia
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",1336920,,Wikipedia
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",920760,,Wikipedia
LH,Labcorp,Health Care,Health Care Services,"Burlington, North Carolina",920148,,Wikipedia
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",202058,,Wikipedia
LII,Lennox International,Industrials,Building Products,"Richardson, Texas",1069202,,Wikipedia
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",1707925,,Wikipedia
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",1065696,,Wikipedia
LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",59478,,Wikipedia
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",936468,,Wikipedia
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",352541,,Wikipedia
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",60667,,Wikipedia
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",707549,,Wikipedia
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",1397187,,Wikipedia
LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",92380,,Wikipedia
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",1300514,,Wikipedia
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",1679273,,Wikipedia
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",1489393,,Wikipedia
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",1335258,,Wikipedia
