Symbol,Company,Sector,Subsector,Headquarters,CIK,DateFirstAdded,Source
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",1781335,,Wikipedia
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",797468,,Wikipedia
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",1327567,,Wikipedia
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",1590955,,Wikipedia
PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",723531,,Wikipedia
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",75362,,Wikipedia
PCG,PG&E Corporation,Utilities,Multi-Utilities,"Oakland, California",1004980,,Wikipedia
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",788784,,Wikipedia
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",77476,,Wikipedia
PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",78003,,Wikipedia
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",1126328,,Wikipedia
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",80424,,Wikipedia
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",80661,,Wikipedia
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",76334,,Wikipedia
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",822416,,Wikipedia
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",75677,,Wikipedia
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",1045609,,Wikipedia
PLTR,Palantir Technologies,Information Technology,Application Software,"Denver, Colorado",1321655,,Wikipedia
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",1413329,,Wikipedia
PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",713676,,Wikipedia
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",77360,,Wikipedia
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",764622,,Wikipedia
PODD,Insulet Corporation,Health Care,Health Care Equipment,"Acton, Massachusetts",1145197,,Wikipedia
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",945841,,Wikipedia
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",79879,,Wikipedia
PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",922224,,Wikipedia
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",1137774,,Wikipedia
PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",1393311,,Wikipedia
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,"Los Angeles, California",2041610,,Wikipedia
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",1534701,,Wikipedia
PTC,PTC Inc.,Information Technology,Application Software,"Boston, Massachusetts",857005,,Wikipedia
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",1050915,,Wikipedia
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",1633917,,Wikipedia
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",804328,,Wikipedia
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",884887,,Wikipedia
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",910606,,Wikipedia
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",872589,,Wikipedia
